dates,Title,File,Political Influence,Scientific Data Mentioned,Statistical Data Mentioned,Source Mentioned,Authenticity,Stance Detection,Location,Focus,Target,Authority Involvement
03 July 2022 16:03,"‘সিঙ্গল ইউজ প্লাস্টিক’ নিষিদ্ধ, অনেকের দাবি তাঁরা জানেনই না!",ID-1147.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,Government,Legal/Court
03 July 2022 06:55,অবৈধ প্লাস্টিক রোধে জরিমানার পথে হাঁটল বরাহনগর,ID-1148.txt,No,No,Yes,Yes,Real,Positive,Global,Plastic Pollution,General People,Crime/Police
29 June 2022 17:03,দুটো কচুরির দাম এক কেজি প্লাস্টিক! বর্জ্যের বিনিময়ে খাবার পাবেন এই ক্যাফেতে,ID-1151.txt,No,No,No,No,Real,Positive,India,Environmental Protection,N/A,Other Authority
27 June 2022 05:36,"প্লাস্টিক বন্ধের পর্বে প্রথমে সচেতনতা, তার পর হবে জরিমানা",ID-1152.txt,No,Yes,Yes,Yes,Real,Positive,India,Plastic Pollution,General People,Government
14 June 2022 06:25,"উধাও অরণ্য, ছ’হাজার একর জুড়ে শুধু প্লাস্টিক শিট, উদ্বাস্তু শিবির এখন রোহিঙ্গা নগরী",ID-1154.txt,Yes,No,No,No,Real,Positive,Bangladesh,Plastic Pollution,General People,N/A
08 June 2022 08:25,প্লাস্টিক ক্যারিব্যাগ নিষিদ্ধ দুই শহরে,ID-1157.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Legal/Court
04 June 2022 15:16,ব্রিটেনের রানির হীরক জয়ন্তীতে প্লাস্টিকের শাড়ি! হঠাৎ কেন এমন ভাবনা,ID-1158.txt,No,No,No,No,Real,Positive,Others,Plastic Pollution,N/A,N/A
21 May 2022 04:58,সম্পাদক সমীপেষু: বিপজ্জনক প্লাস্টিক,ID-1160.txt,No,Yes,No,No,Real,Neutral,Bangladesh,Plastic Pollution,General People,Government
27 April 2022 04:42,মানুষের রক্তেও এখন প্লাস্টিক,ID-1168.txt,No,Yes,No,No,Problematic,Positive,Bangladesh,Plastic Pollution,N/A,Scientists & Researcher
19 April 2022 00:41,জল জমার সমস্যা দূরীকরণে প্লাস্টিক বর্জনে জোর দিচ্ছে হাওড়া পুরসভা,ID-1169.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Government
05 April 2022 07:19,এ বার প্লাস্টিক বর্জ্যের ৫০০ মিটার রাস্তা কাপসিটে,ID-1174.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Protection,N/A,Government
27 March 2022 08:01,"দূষণ রুখতে ফুটপাত ঢাকার নির্দেশ, তবু হাঁটা-সঙ্গী ধুলোই!",ID-1177.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,N/A,N/A
25 March 2022 12:47,"এভারেস্টের চূড়া, মারিয়ানা ট্রেঞ্চের পর এ বার মাইক্রোপ্লাস্টিকের হদিশ মানবরক্তেও!",ID-1179.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Scientists & Researcher
16 March 2022 06:58,দূষণ বন্ধে বৈধ নথি নেই প্রায় ৪১ হাজার যানের,ID-1182.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,Authority,Scientists & Researcher
27 February 2022 08:59,"পরতে হবে না মাস্ক, নয়া প্রযুক্তির এই ফিল্টারেই মিলবে দূষণ থেকে মুক্তি, দাবি সংস্থার",ID-1186.txt,No,No,No,No,Real,Positive,Global,Air Pollution,N/A,Scientists & Researcher
07 January 2022 07:03,দূষণ কমাতে ডেঙ্গি-মডেল অনুসরণের পুর ভাবনা,ID-1198.txt,No,No,No,No,Real,Positive,India,Air Pollution,N/A,Other Authority
26 December 2021 07:33,"ভ্যাট উপচে রাস্তায় বর্জ্য, দূষণ অব্যাহত",ID-1200.txt,Yes,No,No,No,Real,Negative,India,Environmental Pollution,Government,General people
19 December 2021 06:46,বিকল্প জ্বালানি নিয়ে আরও সময় চায় শিল্প,ID-1202.txt,No,No,No,No,Real,Positive,India,Heavy Metal,Industries,Legal/Court
09 December 2021 15:49,"যেখানে সেখানে ময়লা ফেলা, মূত্রত্যাগ বন্ধ করা হোক কড়া হাতে",ID-1204.txt,No,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,General People,N/A
03 December 2021 06:26,কয়েক দশকের জমা জঞ্জাল সরাতে তৎপরতা,ID-1207.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,All,Legal/Court
02 December 2021 16:06,"পরিবেশ দূষণ নিয়ে সুপ্রিম কোর্টের ধমক, খোলার চারদিনের মাথায় দিল্লিতে ফের বন্ধ স্কুল",ID-1209.txt,No,No,Yes,No,Real,Positive,India,Environmental Pollution,General People,Government
23 November 2021 06:57,"ধনীরাই পরিবেশ দূষণ ঘটাচ্ছেন, এটা স্বীকার না করে উপায় নেই",ID-1213.txt,No,No,No,No,Real,Problematic,Global,Environmental Pollution,All,Environmental/Forestry Authority
19 November 2021 06:34,দায় এড়ানোর মধ্যে দূষণ নিয়ে বৈঠক চায় দিল্লি,ID-1214.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,Government,Scientists & Researcher
17 November 2021 11:21,"করোনার পর দূষণ, অনির্দিষ্টকালের জন্য বন্ধ দিল্লির স্কুল-কলেজ, আর কী কী নিষিদ্ধ",ID-1216.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,General People,Government
13 November 2021 13:14,"ঘন ধোঁয়াশায় ‘গ্যাস চেম্বার’ দিল্লি, দূষণ ঠেকাতে লকডাউনের নিদান সুপ্রিম কোর্টের",ID-1221.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,All,Legal/Court
12 November 2021 12:57,"সৈকতে গাছের আড়ালে চলে যৌনতা, স্পেনে সঙ্কটে সমুদ্র পাড়ের বালিয়াড়ি",ID-1222.txt,No,No,No,No,Real,Neutral,Others,Environmental Pollution,General People,N/A
07 November 2021 04:34,মহাদূষণের মানচিত্রে এ বার শিলিগুড়ি,ID-1226.txt,No,Yes,Yes,Yes,Real,Problematic,India,Air Pollution,N/A,N/A
06 November 2021 06:41,"বাতাসে বাজির হানা, কোন্নগরে দূষণ ৪ গুণ",ID-1228.txt,No,Yes,Yes,Yes,Real,Positive,India,Sound Pollution,General People,Environmental/Forestry Authority
05 November 2021 02:24,"কালীপুজোয় বাজি ফাটানো নিয়ে কড়া রাজ্য, নজরদারি চালাচ্ছে ২০টি দল, কলকাতায় ছয়টি",ID-1231.txt,No,No,No,No,Real,Positive,India,Sound Pollution,General People,Legal/Court
02 November 2021 07:22,"বেছে নিন কম দূষণের জীবন, গ্লাসগোয় মোদী",ID-1233.txt,Yes,No,No,No,Maybe Real,Positive,India,Climate Change,Goverment,N/A
01 November 2021 06:09,"আলোর উপদ্রবে বিপন্ন পাখি আর পতঙ্গ, রুখবে কে",ID-1234.txt,No,Yes,No,No,Real,Positive,India,Light Pollution,General People,N/A
18 October 2021 23:04,প্রতিমার কাঠামো থেকে দূষণ! বাঁকুড়ার মিছরি বাঁধের জলে ভাসছে মরা মাছ,ID-1238.txt,No,No,No,No,Real,Positive,Bangladesh,Water Pollution,General People,Government
23 September 2021 05:59,"দূষণ-শীর্ষে দিল্লি, মুম্বইকে পিছনে ফেলে দু’নম্বরে কলকাতা, ভয় ধরাচ্ছে হু-এর রিপোর্ট",ID-1248.txt,No,No,No,No,Real,Neutral,India,Air Pollution,N/A,N/A
13 September 2021 07:30,"অসুস্থ গঙ্গা থেকে মুখ ফিরিয়ে নিচ্ছে ইলিশ, পাড়ি দিচ্ছে মায়ানমার",ID-1251.txt,No,No,No,No,Fake,Negative,India,Water Pollution,N/A,N/A
02 September 2021 10:29,"ফেসবুকে যাঁরা তেড়ে খেউড় করেন, তাঁদের জন্য এখানে একটা আয়না রেখে গেলাম",ID-1255.txt,No,No,Yes,Yes,Real,Positive,Bangladesh,Climate Change,N/A,N/A
21 August 2021 05:38,বাতিলের নীতি,ID-1259.txt,No,No,Yes,No,Real,Positive,India,Environmental Protection,General People,Government
04 July 2021 17:53,"সিগারেট খেতে বারণ করায় ট্রেন থেকে ফেলে দিচ্ছিল, তবু পরিবেশ আন্দোলন ছাড়েননি অরিন্দম",ID-1268.txt,No,No,No,No,Real,Positive,India,Forestry and Tree Plantation,General People,Other Authority
24 June 2021 17:42,"দূষণ মুক্ত ব্যবসাতেও বিপুল বিনিয়োগ, ৬০ হাজার কোটি ঢালছেন মুকেশ অম্বানী",ID-1271.txt,No,No,No,No,Real,Positive,India,Environmental Protection,General People,Other Authority
20 June 2021 13:21,প্লাস্টিক থেকে ভ্যানিলা বানিয়ে দূষণ কমানোর পথ দেখালেন বিজ্ঞানীরা,ID-1272.txt,No,Yes,No,No,Real,Positive,Global,Plastic Pollution,N/A,N/A
15 June 2021 06:34,বর্ষায় আদিগঙ্গার দূষণে বিপন্ন হতে পারে জীবন,ID-1273.txt,No,Yes,Yes,Yes,Real,Positive,India,Water Pollution,N/A,Legal/Court
14 June 2021 04:48,দূষণ-নদী,ID-1274.txt,No,No,No,No,Real,Positive,India,Water Pollution,General People,Government
11 June 2021 07:13,"সাঁতরাগাছি ঝিলে জলের দূষণ বিপজ্জনক মাত্রায়, বলছে রিপোর্ট",ID-1276.txt,No,Yes,Yes,Yes,Real,Problematic,India,Water Pollution,Dishonest people,Environmental/Forestry Authority
06 June 2021 05:15,"দেড় বছর পার, জমা পড়েনি দূষণ-রিপোর্ট",ID-1278.txt,Yes,No,No,No,Real,Positive,India,Environmental Pollution,N/A,Environmental/Forestry Authority
05 June 2021 17:43,"নালায় পরিণত কুমলাই নদী, বিশ্ব পরিবেশ দিবসেও হুঁশ নেই ধূপগুড়ির",ID-1279.txt,No,No,No,No,Real,Positive,Bangladesh,Water Pollution,N/A,General people
30 May 2021 06:18,"চারিদিকে পচা মাছ, ছড়াচ্ছে দূষণ",ID-1280.txt,No,No,No,No,Real,Positive,India,Water Pollution,Authority,General people
30 May 2021 05:43,"দূষণ নিয়ন্ত্রক যন্ত্র বিকল, সমস্যা চলছে",ID-1281.txt,No,No,No,No,Real,Neutral,India,Air Pollution,Industries,Crime/Police
28 March 2021 07:01,‘নদীর লড়াইয়ে মুখোমুখি তৃণমূল-বিজেপি!’,ID-1286.txt,Yes,No,Yes,Yes,Real,Positive,India,Water Pollution,N/A,Other Authority
14 March 2021 06:17,১৫ বছর হলেই বাতিল সরকারি গাড়ির নথিভুক্তি,ID-1290.txt,No,No,Yes,No,Real,Positive,India,Environmental Protection,Government,Legal/Court
18 February 2021 05:30,"প্লাস্টিকমুক্ত করে নিরঞ্জন, দূষণ রুখতে তৎপর সাফাই কর্মীরা",ID-1294.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Other Authority
09 February 2021 20:39,জ্বালানি তেলের ধোঁয়ায় প্রতি মিনিটে ৫ জনের অকালমৃত্যু দেশে,ID-1295.txt,No,No,Yes,Yes,Real,Positive,India,Climate Change,Authority,Other Authority
02 February 2021 05:54,নির্মল বায়ুর জন্য নির্মাণ-বর্জ্যের দূষণ নিয়ন্ত্রণে জোর নির্মলার,ID-1299.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,Industries,Other Authority
27 January 2021 04:47,দূষণভার,ID-1304.txt,No,No,No,No,Real,Positive,Others,Environmental Protection,All,Environmental/Forestry Authority
26 January 2021 07:33,পুরনো গাড়িতে দূষণ কর বসানোর উদ্যোগ,ID-1306.txt,Yes,No,No,No,Real,Positive,India,Environmental Pollution,Authority,Government
25 January 2021 05:23,"কৃষিজমিতে পুড়ছে নাড়া, দূষণ ছড়াচ্ছে বাগদার বাতাসে",ID-1307.txt,No,No,No,No,Real,Positive,India,Air Pollution,General People,N/A
17 January 2021 19:06,"গঙ্গা দূষণ ঠেকানোর আশ্বাস দিয়ে ফুল, মালা জলে ভাসালেন বিধায়ক",ID-1308.txt,Yes,No,No,No,Real,Positive,India,Water Pollution,Government,Government
28 December 2020 04:20,কোভিড হাসপাতালের বর্জ্য থেকে ছড়াচ্ছে দূষণ,ID-1314.txt,No,No,No,No,Real,Positive,India,Water Pollution,Industries,Legal/Court
28 December 2020 02:06,পরিবেশ রক্ষার বার্তা দেবে সাগরমেলা,ID-1316.txt,No,No,No,No,Real,Positive,India,Environmental Protection,All,Other Authority
24 December 2020 04:40,বর্জ্য পুড়িয়ে দূষণ,ID-1317.txt,No,No,No,No,Real,Neutral,Bangladesh,Air Pollution,N/A,Legal/Court
16 December 2020 02:13,"রেলের জঞ্জালে আগুন, দূষণ-গ্রাসে সাঁতরাগাছি ঝিল",ID-1323.txt,No,No,No,No,Real,Neutral,India,Air Pollution,N/A,Environmental/Forestry Authority
13 December 2020 01:20,"পাথর খাদানের জেরে ‘দূষণ’, আশঙ্কা ধসেরও",ID-1327.txt,No,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,Industries,N/A
07 December 2020 00:01,মাটির স্বাস্থ্য ভাল না হলে মানুষের খাবারের ক্ষতি,ID-1328.txt,No,No,No,No,Real,Positive,India,Soil Pollution,N/A,Scientists & Researcher
06 December 2020 02:24,"খাতাবন্দি নিয়ম, বিষ-ধোঁয়ার দায়িত্ব কার?",ID-1329.txt,Yes,No,Yes,Yes,Real,Positive,India,Air Pollution,General People,Legal/Court
05 December 2020 02:11,"দ্বারকেশ্বরের চরে বর্জ্যে আগুন, ছড়াচ্ছে দূষণ",ID-1330.txt,No,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,Authority,N/A
29 November 2020 02:25,সিগন্যালে ইঞ্জিন বন্ধ রেখে দূষণ রোধ,ID-1332.txt,No,No,No,No,Real,Positive,India,Air Pollution,N/A,Other Authority
24 November 2020 01:06,"দেড় লক্ষ কেজি কোভিড-বর্জ্য গেল কোথায়, উত্তর নেই",ID-1335.txt,No,No,Yes,No,Real,Neutral,India,Environmental Pollution,Industries,Other Authority
22 November 2020 03:27,দূষণ রুখতে তড়িঘড়ি ঘাট পরিষ্কারের কাজ,ID-1338.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,N/A,Legal/Court
21 November 2020 12:44,"দিল্লিতে তাপমাত্রার পতন জারি, শৈত্যপ্রবাহের আশঙ্কা, বাড়ছে দূষণ",ID-1340.txt,No,No,Yes,No,Real,Neutral,India,Climate Change,N/A,N/A
21 November 2020 04:13,সরোবর বাঁচানোর মূল্য কি গঙ্গা-দূষণ?,ID-1341.txt,No,No,No,No,Real,Positive,India,Water Resource Pollution,General People,Scientists & Researcher
20 November 2020 04:54,"ছট বন্ধই সরোবরে, সুপ্রিম কোর্টের দ্বারস্থ হয়েও মিলল না অনুমতি",ID-1345.txt,Yes,No,No,No,Real,Positive,India,Water Pollution,General People,Legal/Court
19 November 2020 15:26,সুন্দরবনে ৮টি হোটেল বন্ধের নির্দেশ দিল দূষণ নিয়ন্ত্রণ পর্ষদ,ID-1346.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,Authority,Legal/Court
19 November 2020 12:29,"চিন্তা বাড়াচ্ছে করোনা, সঙ্গে দোসর দূষণ এবং ঠান্ডা, বেসামাল দিল্লি",ID-1348.txt,No,No,Yes,No,Real,Negative,India,Environmental Pollution,General People,Other Authority
