dates,Title,Files,Not OK?,Political Influence,Scientific Data Mentioned,Statistical Data Mentioned,Source Mentioned,Authenticity,Stance Detection,Location,Focus,Target,Authority Involvement,Comments,Done,Annotator
20 May 2022 04:48,"হয় উন্নয়ন, নয় পরিবেশ?",ID-1018.txt,False,Yes,No,No,No,Problematic,Positive,India,Environmental Pollution,Government,,,No,
03 July 2023 09:06,"লবণযুক্ত চামড়া সংগ্রহ শুরু, দূষণ আর বিক্রি নিয়ে চিন্তায় ট্যানারি ...",ID-102.txt,False,No,No,No,No,Real,Neutral,Bangladesh,Water Pollution,Industries,,,No,
18 May 2022 16:55,দূষণের কারণে মৃত্যুতে বিশ্বে শীর্ষে ভারত! প্রতি বছর প্রাণ হারাচ্ছেন ২৪ লক্ষ,ID-1020.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,,,,No,
16 May 2022 19:46,পরিবেশ সমীক্ষা করতে এভারেস্টের চূড়া টপকে নজির চিনা আকাশযানের,ID-1021.txt,False,No,Yes,No,No,Real,Positive,Global,Global Warming,,,,No,
30 April 2022 06:20,"ধাপায় টেনিস কোর্ট না গল্ফ কোর্স, ঠিক করবে বিশেষজ্ঞ কমিটি",ID-1029.txt,False,No,No,No,No,Real,Positive,India,Environmental Protection,,Government,,No,
11 June 2023 04:35,"কুষ্টিয়ায় চাল কলের বর্জ্যে দূষিত গঙ্গা-কপোতাক্ষ সেচ খাল, হুমকিতে ...",ID-103.txt,False,No,No,No,No,Real,Neutral,Bangladesh,Water Pollution,Industries,,,No,
28 April 2022 04:36,সম্পাদক সমীপেষু: গঙ্গার মুক্তি,ID-1031.txt,False,Yes,No,Yes,Yes,Real,Problematic,India,Water Pollution,All,Other Authority,,No,
07 March 2024 10:15,এস আলমের চিনিকলে অগ্নিকাণ্ডে পরিবেশের ক্ষতি নিরূপণে কমিটি,ID-104.txt,False,No,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,Industries,Environmental/Forestry Authority,,No,
16 March 2024 13:21,"প্লাস্টিকের বদলে ধাতব বোতলে জল খাচ্ছেন? স্টিল না তামা, কোনটি বেশি স্বাস্থ্যকর?",ID-1041.txt,False,No,No,No,No,Maybe Real,Positive,India,Plastic Pollution,General People,Scientists & Researcher,,No,
11 March 2024 10:00,"মোদীর সভার মাঠে উড়ছে প্লাস্টিক, ক্ষোভ",ID-1042.txt,False,No,No,No,No,Real,Negative,India,Plastic Pollution,General People,Legal/Court,,No,
20 February 2024 09:28,"আঁধারে পথ দেখাবে ‘নীল রাস্তা’, কমবে প্লাস্টিক দূষণও",ID-1045.txt,False,No,Yes,Yes,Yes,Real,Positive,India,Plastic Pollution,,Government,,No,
11 February 2024 08:42,বাঙুর পথ দেখালেও দমদমের সর্বত্র প্লাস্টিক বর্জনে আসেনি সাফল্য,ID-1048.txt,False,No,No,No,Yes,Maybe Real,Problematic,India,Plastic Pollution,General People,General people,,No,
11 February 2024 08:29,"জরিমানা আদায়ও থমকে, ‘নিষিদ্ধ’ প্লাস্টিকের দেদার ব্যবহার চলছেই",ID-1049.txt,False,No,No,Yes,Yes,Real,Positive,India,Plastic Pollution,General People,Crime/Police,,No,
31 December 2023 11:03,বছরের শেষ দিনে বিশ্বের সবচেয়ে দূষিত বাতাস ঢাকায়,ID-105.txt,False,No,Yes,Yes,Yes,Maybe Real,Positive,Bangladesh,Air Pollution,All,,,No,
18 December 2023 09:45,ডায়মন্ড হারবার শহরে প্লাস্টিক বন্ধ করতে অভিযান পুরসভার,ID-1053.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Legal/Court,,No,
25 November 2023 09:03,ইজ়রায়েলের প্রযুক্তিতে পলিহাউস চাষ চুঁচুড়ায়,ID-1056.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Protection,,,,No,
06 March 2024 09:26,২০১০-এর চেয়ে ২০২৫ সালে বঙ্গোপসাগরে মিলবে পাঁচগুণ বেশি প্লাস্টিক,ID-106.txt,False,No,No,Yes,No,Maybe Real,Positive,Bangladesh,Plastic Pollution,Industries,,,No,
02 November 2023 08:01,পুজোয় প্লাস্টিকের ব্যবহার বেড়েছে দমদমে,ID-1063.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Government,,No,
25 October 2023 12:03,প্লাস্টিকের ব্যবহার কমাতে এরা কী ভাবছে?,ID-1065.txt,False,No,No,No,No,Real,Problematic,India,Plastic Pollution,General People,,,No,
20 October 2023 09:18,পরিবেশবান্ধব উপকরণে মণ্ডপের সজ্জায় চমক,ID-1066.txt,False,No,No,No,No,Real,Positive,India,Environmental Protection,,Other Authority,,No,
30 August 2023 10:39,গবেষণা: তীব্র বায়ু দূষণে দক্ষিণ এশিয়ার বাসিন্দাদের 'আয়ু কমছে',ID-107.txt,False,No,Yes,Yes,Yes,Real,Positive,Global,Air Pollution,All,,,No,
11 August 2023 04:55,নির্বিকল্প প্লাস্টিক,ID-1074.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,Government,General people,,No,
22 July 2023 05:43,"লক্ষ্য প্লাস্টিক-মুক্ত দেশ, দিশা বাঙালি বিজ্ঞানীদের",ID-1077.txt,False,No,Yes,No,No,Real,Positive,India,Plastic Pollution,Government,Scientists & Researcher,,No,
16 July 2023 12:56,"প্লাস্টিক সম্পূর্ণ নিষিদ্ধ করে দিল নাগাল্যান্ড, বাড়িতে রাখলেও জরিমানা অবধারিত",ID-1079.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,,Government,,No,
20 December 2022 05:16,সাগরের নৈসর্গিক সৌন্দর্য ছাপিয়ে কক্সবাজারের সঙ্গী এখন দূষণ,ID-108.txt,False,No,No,No,No,Real,Positive,Bangladesh,Water Pollution,Authority,Legal/Court,,No,
27 June 2023 05:42,ব্যাধির শিকড়,ID-1083.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,Authority,General people,,No,
06 June 2023 09:24,"আইন রয়েছে, তবু থেমে নেই নিষিদ্ধ প্লাস্টিকের দেদার ব্যবহার",ID-1085.txt,False,No,No,Yes,Yes,Real,Positive,India,Plastic Pollution,Industries,Government,,No,
05 June 2023 06:07,প্লাস্টিক নামক ব্যাধি,ID-1086.txt,False,No,Yes,Yes,Yes,Real,Positive,India,Plastic Pollution,,Environmental/Forestry Authority,,No,
28 April 2024 10:06,অস্বাস্থ্যকর' বায়ু নিয়ে দূষিত শহরের তালিকায় ঢাকা ষষ্ঠ,ID-109.txt,False,No,No,Yes,Yes,Real,Neutral,Bangladesh,Air Pollution,Industries,Environmental/Forestry Authority,,No,
26 March 2023 09:32,প্লাস্টিক ক্যারিব্যাগের ব্যবহার নিয়ে মেয়রের উদ্যোগে ‘বিতর্ক’,ID-1099.txt,False,No,No,Yes,Yes,Real,Positive,India,Plastic Pollution,General People,Government,,No,
24 November 2020 10:46,বায়ু দূষণ: ৯ দফা নির্দেশনা বাস্তবায়নে পদক্ষেপ গ্রহণের নির্দেশ,ID-11.txt,False,No,No,No,No,Real,Positive,Bangladesh,Air Pollution,,Legal/Court,,No,
13 June 2023 12:29,প্রধানমন্ত্রীর পরিবেশ বিষয়ক বিশেষ দূত হলেন সাবের হোসেন চৌধুরী,ID-110.txt,False,Yes,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,,Other Authority,,No,
10 March 2023 12:16,প্লাস্টিকের বিষধোঁয়ায় শ্বাসরুদ্ধ কেরলের কোচি! ভয় ধরাচ্ছে ব্রহ্মপুরমের ‘ডাম্পিং ইয়ার্ড’,ID-1103.txt,False,No,No,No,No,Real,Positive,Bangladesh,Plastic Pollution,Government,Legal/Court,,No,
11 February 2023 04:48,কলুষিত,ID-1109.txt,False,No,No,No,No,Real,Positive,India,Environmental Pollution,General People,,,No,
31 January 2023 23:46,"নিষিদ্ধ প্লাস্টিক ক্যারিব্যাগ ব্যবহার নিয়ে বচসা, হাতাহাতিতে জড়ালেন তৃণমূল কাউন্সিলর",ID-1110.txt,False,Yes,No,No,No,Real,Positive,India,Plastic Pollution,Dishonest people,Government,,No,
17 January 2023 07:29,অবাধে প্লাস্টিক কেঁদুলির মেলায়,ID-1114.txt,False,No,No,No,No,Real,Problematic,India,Plastic Pollution,General People,Other Authority,,No,
31 December 2022 18:29,প্লাস্টিক ব্যাগে রান্নার গ্যাস? আর্থিক সঙ্কটে জেরবার পাকিস্তানে ‘বিপদের ছবি’,ID-1116.txt,False,No,No,Yes,No,Real,Negative,Others,Plastic Pollution,General People,Scientists & Researcher,,No,
02 March 2024 10:13,ঢাকার চেয়ে দূষিত বাতাস আজ আর কোথাও নেই,ID-112.txt,False,No,No,Yes,Yes,Real,Positive,Bangladesh,Air Pollution,Industries,Other Authority,,No,
26 October 2022 19:42,প্লাস্টিক গিলে জল শুদ্ধ করবে রোবট মাছ! রোবটদের প্রতিযোগিতাও জিতল গিলবার্ট,ID-1128.txt,False,No,No,No,Yes,Real,Positive,Others,Environmental Protection,,,,No,
01 January 2024 11:20,বিশ্বের সবচেয়ে দূষিত বাতাস নিয়ে নতুন বছর শুরু ঢাকাবাসীর,ID-113.txt,False,No,No,Yes,Yes,Real,Positive,Bangladesh,Air Pollution,,Other Authority,,No,
30 August 2022 08:31,"নজরদারির ফাঁক গলে, দেদার প্লাস্টিক হাওড়ায়",ID-1134.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Other Authority,,No,
31 July 2022 06:42,"প্লাস্টিক-বিধি নিয়ে পুর কড়াকড়ি, তবু নিয়ম মানছেন না একাংশ",ID-1135.txt,False,No,No,No,No,Real,Negative,India,Plastic Pollution,General People,Government,,No,
22 July 2022 06:52,"মাইক থেকে থার্মোকল ব্যবহার, পরিবেশবিধি ভঙ্গের অভিযোগ সমাবেশে",ID-1136.txt,False,No,No,Yes,Yes,Real,Positive,India,Sound Pollution,General People,Environmental/Forestry Authority,,No,
16 July 2022 09:50,৩০ হাজার কেজি প্লাস্টিক বর্জ্য দিয়ে তৈরি রাস্তা! তাক লাগাল বেঙ্গালুরু,ID-1137.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Protection,,,,No,
13 July 2022 07:03,এ বার গ্রামাঞ্চলকে প্লাস্টিক ক্যারিব্যাগমুক্ত করতে শুরু প্রচার,ID-1139.txt,False,No,No,No,No,Real,Positive,India,Environmental Protection,General People,Government,,No,
12 July 2022 20:55,প্লাস্টিক-বিধি না মানায় ছ’লক্ষ টাকার জরিমানা আদায় শুধু বেঙ্গালুরুতেই,ID-1140.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,Industries,Crime/Police,,No,
05 July 2022 06:36,সূচনা হল কি,ID-1145.txt,False,Yes,No,No,No,Real,Neutral,India,Plastic Pollution,General People,Government,,No,
03 July 2022 16:03,"‘সিঙ্গল ইউজ প্লাস্টিক’ নিষিদ্ধ, অনেকের দাবি তাঁরা জানেনই না!",ID-1147.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,Government,Legal/Court,,No,
03 July 2022 06:55,অবৈধ প্লাস্টিক রোধে জরিমানার পথে হাঁটল বরাহনগর,ID-1148.txt,False,No,No,Yes,Yes,Real,Positive,Global,Plastic Pollution,General People,Crime/Police,,No,
29 June 2022 17:03,দুটো কচুরির দাম এক কেজি প্লাস্টিক! বর্জ্যের বিনিময়ে খাবার পাবেন এই ক্যাফেতে,ID-1151.txt,False,No,No,No,No,Real,Positive,India,Environmental Protection,,Other Authority,,No,
27 June 2022 05:36,"প্লাস্টিক বন্ধের পর্বে প্রথমে সচেতনতা, তার পর হবে জরিমানা",ID-1152.txt,False,No,Yes,Yes,Yes,Real,Positive,India,Plastic Pollution,General People,Government,,No,
14 June 2022 06:25,"উধাও অরণ্য, ছ’হাজার একর জুড়ে শুধু প্লাস্টিক শিট, উদ্বাস্তু শিবির এখন রোহিঙ্গা নগরী",ID-1154.txt,False,Yes,No,No,No,Real,Positive,Bangladesh,Plastic Pollution,General People,,,No,
08 June 2022 08:25,প্লাস্টিক ক্যারিব্যাগ নিষিদ্ধ দুই শহরে,ID-1157.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Legal/Court,,No,
04 June 2022 15:16,ব্রিটেনের রানির হীরক জয়ন্তীতে প্লাস্টিকের শাড়ি! হঠাৎ কেন এমন ভাবনা,ID-1158.txt,False,No,No,No,No,Real,Positive,Others,Plastic Pollution,,,,No,
21 May 2022 04:58,সম্পাদক সমীপেষু: বিপজ্জনক প্লাস্টিক,ID-1160.txt,False,No,Yes,No,No,Real,Neutral,Bangladesh,Plastic Pollution,General People,Government,,No,
27 April 2022 04:42,মানুষের রক্তেও এখন প্লাস্টিক,ID-1168.txt,False,No,Yes,No,No,Problematic,Positive,Bangladesh,Plastic Pollution,,Scientists & Researcher,,No,
19 April 2022 00:41,জল জমার সমস্যা দূরীকরণে প্লাস্টিক বর্জনে জোর দিচ্ছে হাওড়া পুরসভা,ID-1169.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Government,,No,
05 April 2022 07:19,এ বার প্লাস্টিক বর্জ্যের ৫০০ মিটার রাস্তা কাপসিটে,ID-1174.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Protection,,Government,,No,
27 March 2022 08:01,"দূষণ রুখতে ফুটপাত ঢাকার নির্দেশ, তবু হাঁটা-সঙ্গী ধুলোই!",ID-1177.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,,,,No,
25 March 2022 12:47,"এভারেস্টের চূড়া, মারিয়ানা ট্রেঞ্চের পর এ বার মাইক্রোপ্লাস্টিকের হদিশ মানবরক্তেও!",ID-1179.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Scientists & Researcher,,No,
16 March 2022 06:58,দূষণ বন্ধে বৈধ নথি নেই প্রায় ৪১ হাজার যানের,ID-1182.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,Authority,Scientists & Researcher,,No,
27 February 2022 08:59,"পরতে হবে না মাস্ক, নয়া প্রযুক্তির এই ফিল্টারেই মিলবে দূষণ থেকে মুক্তি, দাবি সংস্থার",ID-1186.txt,False,No,No,No,No,Real,Positive,Global,Air Pollution,,Scientists & Researcher,,No,
07 January 2022 07:03,দূষণ কমাতে ডেঙ্গি-মডেল অনুসরণের পুর ভাবনা,ID-1198.txt,False,No,No,No,No,Real,Positive,India,Air Pollution,,Other Authority,,No,
26 December 2021 07:33,"ভ্যাট উপচে রাস্তায় বর্জ্য, দূষণ অব্যাহত",ID-1200.txt,False,Yes,No,No,No,Real,Negative,India,Environmental Pollution,Government,General people,,No,
19 December 2021 06:46,বিকল্প জ্বালানি নিয়ে আরও সময় চায় শিল্প,ID-1202.txt,False,No,No,No,No,Real,Positive,India,Heavy Metal,Industries,Legal/Court,,No,
09 December 2021 15:49,"যেখানে সেখানে ময়লা ফেলা, মূত্রত্যাগ বন্ধ করা হোক কড়া হাতে",ID-1204.txt,False,No,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,General People,,,No,
03 December 2021 06:26,কয়েক দশকের জমা জঞ্জাল সরাতে তৎপরতা,ID-1207.txt,False,No,No,No,No,Real,Positive,India,Environmental Pollution,All,Legal/Court,,No,
02 December 2021 16:06,"পরিবেশ দূষণ নিয়ে সুপ্রিম কোর্টের ধমক, খোলার চারদিনের মাথায় দিল্লিতে ফের বন্ধ স্কুল",ID-1209.txt,False,No,No,Yes,No,Real,Positive,India,Environmental Pollution,General People,Government,,No,
23 November 2021 06:57,"ধনীরাই পরিবেশ দূষণ ঘটাচ্ছেন, এটা স্বীকার না করে উপায় নেই",ID-1213.txt,False,No,No,No,No,Real,Problematic,Global,Environmental Pollution,All,Environmental/Forestry Authority,,No,
19 November 2021 06:34,দায় এড়ানোর মধ্যে দূষণ নিয়ে বৈঠক চায় দিল্লি,ID-1214.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,Government,Scientists & Researcher,,No,
17 November 2021 11:21,"করোনার পর দূষণ, অনির্দিষ্টকালের জন্য বন্ধ দিল্লির স্কুল-কলেজ, আর কী কী নিষিদ্ধ",ID-1216.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,General People,Government,,No,
13 November 2021 13:14,"ঘন ধোঁয়াশায় ‘গ্যাস চেম্বার’ দিল্লি, দূষণ ঠেকাতে লকডাউনের নিদান সুপ্রিম কোর্টের",ID-1221.txt,False,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,All,Legal/Court,,No,
12 November 2021 12:57,"সৈকতে গাছের আড়ালে চলে যৌনতা, স্পেনে সঙ্কটে সমুদ্র পাড়ের বালিয়াড়ি",ID-1222.txt,False,No,No,No,No,Real,Neutral,Others,Environmental Pollution,General People,,,No,
07 November 2021 04:34,মহাদূষণের মানচিত্রে এ বার শিলিগুড়ি,ID-1226.txt,False,No,Yes,Yes,Yes,Real,Problematic,India,Air Pollution,,,,No,
06 November 2021 06:41,"বাতাসে বাজির হানা, কোন্নগরে দূষণ ৪ গুণ",ID-1228.txt,False,No,Yes,Yes,Yes,Real,Positive,India,Sound Pollution,General People,Environmental/Forestry Authority,,No,
05 November 2021 02:24,"কালীপুজোয় বাজি ফাটানো নিয়ে কড়া রাজ্য, নজরদারি চালাচ্ছে ২০টি দল, কলকাতায় ছয়টি",ID-1231.txt,False,No,No,No,No,Real,Positive,India,Sound Pollution,General People,Legal/Court,,No,
02 November 2021 07:22,"বেছে নিন কম দূষণের জীবন, গ্লাসগোয় মোদী",ID-1233.txt,False,Yes,No,No,No,Maybe Real,Positive,India,Climate Change,Goverment,,,No,
01 November 2021 06:09,"আলোর উপদ্রবে বিপন্ন পাখি আর পতঙ্গ, রুখবে কে",ID-1234.txt,False,No,Yes,No,No,Real,Positive,India,Light Pollution,General People,,,No,
18 October 2021 23:04,প্রতিমার কাঠামো থেকে দূষণ! বাঁকুড়ার মিছরি বাঁধের জলে ভাসছে মরা মাছ,ID-1238.txt,False,No,No,No,No,Real,Positive,Bangladesh,Water Pollution,General People,Government,,No,
23 September 2021 05:59,"দূষণ-শীর্ষে দিল্লি, মুম্বইকে পিছনে ফেলে দু’নম্বরে কলকাতা, ভয় ধরাচ্ছে হু-এর রিপোর্ট",ID-1248.txt,False,No,No,No,No,Real,Neutral,India,Air Pollution,,,,No,
13 September 2021 07:30,"অসুস্থ গঙ্গা থেকে মুখ ফিরিয়ে নিচ্ছে ইলিশ, পাড়ি দিচ্ছে মায়ানমার",ID-1251.txt,False,No,No,No,No,Fake,Negative,India,Water Pollution,,,,No,
02 September 2021 10:29,"ফেসবুকে যাঁরা তেড়ে খেউড় করেন, তাঁদের জন্য এখানে একটা আয়না রেখে গেলাম",ID-1255.txt,False,No,No,Yes,Yes,Real,Positive,Bangladesh,Climate Change,,,,No,
21 August 2021 05:38,বাতিলের নীতি,ID-1259.txt,False,No,No,Yes,No,Real,Positive,India,Environmental Protection,General People,Government,,No,
04 July 2021 17:53,"সিগারেট খেতে বারণ করায় ট্রেন থেকে ফেলে দিচ্ছিল, তবু পরিবেশ আন্দোলন ছাড়েননি অরিন্দম",ID-1268.txt,False,No,No,No,No,Real,Positive,India,Forestry and Tree Plantation,General People,Other Authority,,No,
24 June 2021 17:42,"দূষণ মুক্ত ব্যবসাতেও বিপুল বিনিয়োগ, ৬০ হাজার কোটি ঢালছেন মুকেশ অম্বানী",ID-1271.txt,False,No,No,No,No,Real,Positive,India,Environmental Protection,General People,Other Authority,,No,
20 June 2021 13:21,প্লাস্টিক থেকে ভ্যানিলা বানিয়ে দূষণ কমানোর পথ দেখালেন বিজ্ঞানীরা,ID-1272.txt,False,No,Yes,No,No,Real,Positive,Global,Plastic Pollution,,,,No,
15 June 2021 06:34,বর্ষায় আদিগঙ্গার দূষণে বিপন্ন হতে পারে জীবন,ID-1273.txt,False,No,Yes,Yes,Yes,Real,Positive,India,Water Pollution,,Legal/Court,,No,
14 June 2021 04:48,দূষণ-নদী,ID-1274.txt,False,No,No,No,No,Real,Positive,India,Water Pollution,General People,Government,,No,
11 June 2021 07:13,"সাঁতরাগাছি ঝিলে জলের দূষণ বিপজ্জনক মাত্রায়, বলছে রিপোর্ট",ID-1276.txt,False,No,Yes,Yes,Yes,Real,Problematic,India,Water Pollution,Dishonest people,Environmental/Forestry Authority,,No,
06 June 2021 05:15,"দেড় বছর পার, জমা পড়েনি দূষণ-রিপোর্ট",ID-1278.txt,False,Yes,No,No,No,Real,Positive,India,Environmental Pollution,,Environmental/Forestry Authority,,No,
05 June 2021 17:43,"নালায় পরিণত কুমলাই নদী, বিশ্ব পরিবেশ দিবসেও হুঁশ নেই ধূপগুড়ির",ID-1279.txt,False,No,No,No,No,Real,Positive,Bangladesh,Water Pollution,,General people,,No,
30 May 2021 06:18,"চারিদিকে পচা মাছ, ছড়াচ্ছে দূষণ",ID-1280.txt,False,No,No,No,No,Real,Positive,India,Water Pollution,Authority,General people,,No,
30 May 2021 05:43,"দূষণ নিয়ন্ত্রক যন্ত্র বিকল, সমস্যা চলছে",ID-1281.txt,False,No,No,No,No,Real,Neutral,India,Air Pollution,Industries,Crime/Police,,No,
28 March 2021 07:01,‘নদীর লড়াইয়ে মুখোমুখি তৃণমূল-বিজেপি!’,ID-1286.txt,False,Yes,No,Yes,Yes,Real,Positive,India,Water Pollution,,Other Authority,,No,
14 March 2021 06:17,১৫ বছর হলেই বাতিল সরকারি গাড়ির নথিভুক্তি,ID-1290.txt,False,No,No,Yes,No,Real,Positive,India,Environmental Protection,Government,Legal/Court,,No,
18 February 2021 05:30,"প্লাস্টিকমুক্ত করে নিরঞ্জন, দূষণ রুখতে তৎপর সাফাই কর্মীরা",ID-1294.txt,False,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Other Authority,,No,
09 February 2021 20:39,জ্বালানি তেলের ধোঁয়ায় প্রতি মিনিটে ৫ জনের অকালমৃত্যু দেশে,ID-1295.txt,False,No,No,Yes,Yes,Real,Positive,India,Climate Change,Authority,Other Authority,,No,
02 February 2021 05:54,নির্মল বায়ুর জন্য নির্মাণ-বর্জ্যের দূষণ নিয়ন্ত্রণে জোর নির্মলার,ID-1299.txt,False,No,No,No,No,Real,Positive,India,Environmental Pollution,Industries,Other Authority,,No,
27 January 2021 04:47,দূষণভার,ID-1304.txt,False,No,No,No,No,Real,Positive,Others,Environmental Protection,All,Environmental/Forestry Authority,,No,
26 January 2021 07:33,পুরনো গাড়িতে দূষণ কর বসানোর উদ্যোগ,ID-1306.txt,False,Yes,No,No,No,Real,Positive,India,Environmental Pollution,Authority,Government,,No,
25 January 2021 05:23,"কৃষিজমিতে পুড়ছে নাড়া, দূষণ ছড়াচ্ছে বাগদার বাতাসে",ID-1307.txt,False,No,No,No,No,Real,Positive,India,Air Pollution,General People,,,No,
17 January 2021 19:06,"গঙ্গা দূষণ ঠেকানোর আশ্বাস দিয়ে ফুল, মালা জলে ভাসালেন বিধায়ক",ID-1308.txt,False,Yes,No,No,No,Real,Positive,India,Water Pollution,Government,Government,,No,
28 December 2020 04:20,কোভিড হাসপাতালের বর্জ্য থেকে ছড়াচ্ছে দূষণ,ID-1314.txt,False,No,No,No,No,Real,Positive,India,Water Pollution,Industries,Legal/Court,,No,
28 December 2020 02:06,পরিবেশ রক্ষার বার্তা দেবে সাগরমেলা,ID-1316.txt,False,No,No,No,No,Real,Positive,India,Environmental Protection,All,Other Authority,,No,
24 December 2020 04:40,বর্জ্য পুড়িয়ে দূষণ,ID-1317.txt,False,No,No,No,No,Real,Neutral,Bangladesh,Air Pollution,,Legal/Court,,No,
16 December 2020 02:13,"রেলের জঞ্জালে আগুন, দূষণ-গ্রাসে সাঁতরাগাছি ঝিল",ID-1323.txt,False,No,No,No,No,Real,Neutral,India,Air Pollution,,Environmental/Forestry Authority,,No,
13 December 2020 01:20,"পাথর খাদানের জেরে ‘দূষণ’, আশঙ্কা ধসেরও",ID-1327.txt,False,No,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,Industries,,,No,
07 December 2020 00:01,মাটির স্বাস্থ্য ভাল না হলে মানুষের খাবারের ক্ষতি,ID-1328.txt,False,No,No,No,No,Real,Positive,India,Soil Pollution,,Scientists & Researcher,,No,
06 December 2020 02:24,"খাতাবন্দি নিয়ম, বিষ-ধোঁয়ার দায়িত্ব কার?",ID-1329.txt,False,Yes,No,Yes,Yes,Real,Positive,India,Air Pollution,General People,Legal/Court,,No,
05 December 2020 02:11,"দ্বারকেশ্বরের চরে বর্জ্যে আগুন, ছড়াচ্ছে দূষণ",ID-1330.txt,False,No,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,Authority,,,No,
29 November 2020 02:25,সিগন্যালে ইঞ্জিন বন্ধ রেখে দূষণ রোধ,ID-1332.txt,False,No,No,No,No,Real,Positive,India,Air Pollution,,Other Authority,,No,
24 November 2020 01:06,"দেড় লক্ষ কেজি কোভিড-বর্জ্য গেল কোথায়, উত্তর নেই",ID-1335.txt,False,No,No,Yes,No,Real,Neutral,India,Environmental Pollution,Industries,Other Authority,,No,
22 November 2020 03:27,দূষণ রুখতে তড়িঘড়ি ঘাট পরিষ্কারের কাজ,ID-1338.txt,False,No,No,No,No,Real,Positive,India,Environmental Pollution,,Legal/Court,,No,
